s	width	allele counts	se_f	f	n	f_per_kb
-0.1	13.47219358530748	94.39799131968466	0.36088816263210716	5.1121684210526315	25	5.112168421052632e-5
-0.1	13.47219358530748	115.54173254070393	0.29063012176107644	3.97424347826087	25	3.97424347826087e-5
-0.1	13.47219358530748	141.4213562373095	0.2454174269207166	3.0882206896551723	25	3.0882206896551724e-5
-0.1	13.47219358530748	173.0976294037676	0.2000673866067968	2.426	25	2.426e-5
-0.1	13.47219358530748	211.86891500973533	0.11946989304938546	1.8489023255813957	25	1.8489023255813957e-5
-0.1	13.47219358530748	259.3243899527689	0.10248900515909505	1.4209923076923077	25	1.4209923076923077e-5
-0.1	13.47219358530748	317.409183037944	0.09312708417375772	1.1055446153846158	25	1.1055446153846157e-5
-0.1	13.47219358530748	388.50410289276914	0.06733132796240392	0.8312974358974358	25	8.312974358974357e-6
-0.1	13.47219358530748	475.5232237451433	0.07263421504670611	0.6059917525773196	25	6.059917525773196e-6
-0.1	13.47219358530748	582.0333289591675	0.056802308513094764	0.4419384615384612	25	4.4193846153846124e-6
-0.1	13.47219358530748	712.4001081403561	0.04311609782203312	0.31888551724137926	25	3.1888551724137926e-6
-0.1	13.47219358530748	871.9671002105022	0.03690662281595354	0.23172272727272725	25	2.317227272727272e-6
-0.1	13.47219358530748	1067.2747170607029	0.022841127528369934	0.1736296296296296	25	1.736296296296296e-6
-0.1	13.47219358530748	1306.3283252338515	0.01806448018640141	0.1177464150943397	25	1.1774641509433968e-6
-0.1	13.47219358530748	1598.9263739030541	0.01605073317908386	0.0850030959752322	25	8.50030959752322e-7
-0.1	13.47219358530748	1957.062018620097	0.00852051096313999	0.056692191435768265	25	5.669219143576826e-7
-0.1	13.47219358530748	2395.4147027895547	0.007371916715227991	0.039477938144329844	25	3.947793814432984e-7
-0.1	13.47219358530748	2931.9518460565623	0.00662197992204166	0.03130657672849915	25	3.130657672849915e-7
-0.1	13.47219358530748	3588.6653019135715	0.00620437043973505	0.02339862448418157	25	2.3398624484181567e-7
-0.1	13.47219358530748	4392.472770819839	0.0035909229433912313	0.017754330708661416	25	1.7754330708661417e-7
-0.1	13.47219358530748	5376.321116406638	0.0030394418409645917	0.013063360881542698	25	1.3063360881542698e-7
-0.1	13.47219358530748	6580.536808046029	0.002803316941707709	0.012123123123123122	25	1.2123123123123123e-7
-0.1	13.47219358530748	8054.478842400569	0.0025615728445706606	0.009472638036809812	25	9.472638036809812e-8
-0.1	13.47219358530748	9858.561894731161	0.0016347839973926167	0.007468136272545087	25	7.468136272545087e-8
-0.1	13.47219358530748	12066.732625903607	0.0017293163781500532	0.006144903806794916	25	6.144903806794916e-8
-0.1	13.47219358530748	14769.500645207127	0.0011348074681187723	0.004519692410565028	25	4.519692410565028e-8
-0.1	13.47219358530748	18077.64836360904	0.001059602483403732	0.004616174863387978	25	4.616174863387978e-8
-0.1	14.696938456699067	1	0	0	25	0
-0.1	14.696938456699067	1.106338589938541	11.708693351523053	557.16	25	0.0055715999999999995
-0.1	14.696938456699067	1.3541419226309606	0	0	25	0
-0.1	14.696938456699067	1.6574495035272516	0	0	25	0
-0.1	14.696938456699067	2.0286934558567684	8.716695226211982	403.0156	25	0.004030156
-0.1	14.696938456699067	2.4830905129101035	0	0	25	0
-0.1	14.696938456699067	3.0392657291341303	4.885259529100442	231.6776	25	0.002316776
-0.1	14.696938456699067	3.720015893203823	4.283357328078059	185.862	25	0.00185862
-0.1	14.696938456699067	4.5532439342286635	3.700621028962571	135.0272	25	0.0013502719999999998
-0.1	14.696938456699067	5.573102621003827	2.9094098485202573	116.4636	25	0.001164636
-0.1	14.696938456699067	6.821394432824586	2.8975677731504406	94.5664	25	9.456639999999999e-4
-0.1	14.696938456699067	8.349284980470902	2.8539295716608004	77.8034	25	7.78034e-4
-0.1	14.696938456699067	10.21940020792074	2.0665198200517376	61.767	25	6.176700000000001e-4
-0.1	14.696938456699067	12.508393335947712	1.882054794632717	51.0164	25	5.101639999999999e-4
-0.1	14.696938456699067	15.310086762774377	1.6220623817752424	41.8192	25	4.18192e-4
-0.1	14.696938456699067	18.739317703580973	1.356189576226962	33.3653	25	3.33653e-4
-0.1	14.696938456699067	22.936645195870106	1.170155670555561	26.39928	25	2.639928e-4
-0.1	14.696938456699067	28.074111403783828	0.9751158430706616	20.8782	25	2.08782e-4
-0.1	14.696938456699067	34.362293368603815	0.9004458759471343	16.801257142857143	25	1.6801257142857142e-4
-0.1	14.696938456699067	42.058934246120046	0.7505887550227931	13.6681	25	1.3668100000000001e-4
-0.1	14.696938456699067	51.479507812354285	0.552779531097163	11.03428	25	1.1034280000000001e-4
-0.1	14.696938456699067	63.0101492608963	0.473604667070132	8.82846153846154	25	8.828461538461539e-5
-0.1	14.696938456699067	77.12348230585881	0.42639426322164947	6.9977	25	6.997700000000001e-5
-0.1	14.696938456699067	94.39799131968466	0.40167457301138493	5.452084210526316	25	5.452084210526316e-5
-0.1	14.696938456699067	115.54173254070393	0.35745296199333315	4.248660869565217	25	4.248660869565218e-5
-0.1	14.696938456699067	141.4213562373095	0.22074128077917748	3.3516000000000004	25	3.3516e-5
-0.1	14.696938456699067	173.0976294037676	0.19525615479772865	2.5789142857142857	25	2.5789142857142856e-5
-0.1	14.696938456699067	211.86891500973533	0.12273972324018807	1.958186046511628	25	1.958186046511628e-5
-0.1	14.696938456699067	259.3243899527689	0.10174359802296538	1.5143076923076921	25	1.5143076923076921e-5
-0.1	14.696938456699067	317.409183037944	0.10195289278456036	1.167064615384616	25	1.167064615384616e-5
-0.1	14.696938456699067	388.50410289276914	0.06736375483672488	0.8494256410256408	25	8.494256410256409e-6
-0.1	14.696938456699067	475.5232237451433	0.0692689999417091	0.6309030927835051	25	6.309030927835051e-6
-0.1	14.696938456699067	582.0333289591675	0.06280679967388325	0.4473025641025638	25	4.473025641025638e-6
-0.1	14.696938456699067	712.4001081403561	0.04225480208974221	0.32115310344827586	25	3.2115310344827586e-6
-0.1	14.696938456699067	871.9671002105022	0.03309084876706332	0.23916136363636364	25	2.3916136363636363e-6
-0.1	14.696938456699067	1067.2747170607029	0.02566318836326554	0.16793148148148146	25	1.6793148148148147e-6
-0.1	14.696938456699067	1306.3283252338515	0.02159848915073457	0.11556679245283026	25	1.1556679245283026e-6
-0.1	14.696938456699067	1598.9263739030541	0.015976679620991256	0.08237770897832818	25	8.237770897832818e-7
-0.1	14.696938456699067	1957.062018620097	0.008480511797065483	0.05516675062972292	25	5.516675062972292e-7
-0.1	14.696938456699067	2395.4147027895547	0.007231784784067521	0.03899628865979376	25	3.8996288659793757e-7
-0.1	14.696938456699067	2931.9518460565623	0.006613143302940209	0.029933895446880267	25	2.9933895446880266e-7
